Name,SM_PubChem_CID,SMILES
BRD-K65085267,,O=C(NC1CCCC1)N2[C@@H]3CNC[C@H]2[C@@H]3c4ccc(cc4)c5cccnc5
BRD-K50990408,,COc1ccccc1CN2[C@@H]3CNC[C@H]2[C@@H]3c4ccc(cc4)c5cccc(c5)C#N
BRD-K37869460,,Cc1ccccc1c2ccc(cc2)[C@H]3[C@H]4CNC[C@@H]3N4Cc5ccc6OCOc6c5
Neratinib,53398697,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C
T0520-8489,2462422,Clc1ccccc1C(=O)Nc2cccc(\C=C(/C#N)\C(=O)NCCc3ccccc3)c2
PHA-665752,66596670,Cc1[nH]c(C=C2C(=O)Nc3ccc(cc23)S(=O)(=O)Cc4c(Cl)cccc4Cl)c(C)c1C(=O)N5CCC[C@@H]5CN6CCCC6
KW2449,67089852,O=C(N1CCNCC1)c2ccc(C=Cc3n[nH]c4ccccc34)cc2
BRD-K96522480,56835511,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)NC2CCCCC2)OCc3ccccc3c4ccccc4C1=O
BRD-K96543798-001-02-1,54654301,CN1[C@H]2CC[C@H](CC(=O)NCC3CCCCC3)O[C@@H]2COc4ccc(NC(=O)c5cccc(F)c5)cc4C1=O
BRD-K96534186,54649509,CO[C@H]1CC[C@H]2CCN(C)C(=O)[C@H](C)[C@H](CN(C)C(=O)c3cc(ccc3OC[C@@H]1O2)C#N)OC
Afatinib,57519523,CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4
17-DMAG (Alvespimycin) HCl,99719310,CO[C@H]1C[C@H](C)CC2=C(NCCN(C)C)C(=O)C=C(NC(=O)\C(=C/C=C\[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O
BRN 0962299,198995,COc1ccc(cc1)N2CCN(CC2)c3ncccn3
Cytochalasin B,44634701,C[C@@H]1CCC[C@@H](O)\C=C/C(=O)O[C@]23[C@@H](\C=C\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O
